Time (ms),y target (mm),y tip (mm)
9024,0.05017358,-0.06851541
9049,-0.009963817,-0.05929985
9074,-0.009963817,-0.05929985
9099,-0.08907836,-0.04963407
9124,-0.1554402,-0.04759137
9149,-0.1554402,-0.04759137
9174,-0.2100767,-0.04817315
9199,-0.2246526,-0.04968039
9224,-0.2080182,-0.0511462
9249,-0.1816441,-0.0530198
9274,-0.1380404,-0.05605512
9299,-0.09952593,-0.06200541
9324,-0.09952593,-0.06200541
9349,-0.04778508,-0.06661684
9374,0.01446187,-0.07088836
9399,0.04395542,-0.07222551
9424,0.06625514,-0.07407887
9449,0.06625514,-0.07407887
9474,0.08015826,-0.07399072
9499,0.07964933,-0.07116871
9524,0.06505498,-0.0694553
9549,0.04353934,-0.0676326
9574,0.04353934,-0.0676326
9599,0.001520727,-0.06553631
9624,-0.06841265,-0.06160175
9649,-0.1145167,-0.05932475
9674,-0.1577531,-0.0567674
9699,-0.1987333,-0.05474251
9724,-0.2107021,-0.0558389
9751,-0.2012112,-0.05764549
9775,-0.2012112,-0.05764549
9800,-0.1577097,-0.0627012
9825,-0.113471,-0.06756038
9850,-0.07320188,-0.07043705
9875,-0.03526018,-0.07302314
9900,0.002217148,-0.07471705
9925,0.03626755,-0.07620283
9950,0.0701452,-0.07722411
9975,0.0701452,-0.07722411
10000,0.0888472,-0.0763091
10025,0.09032311,-0.07491982
10050,0.0724478,-0.07154679
10075,0.0724478,-0.07154679
10100,0.0322068,-0.06683677
10126,-0.02414685,-0.06222548
10151,-0.1109331,-0.05649866
10176,-0.1271527,-0.05536858
10201,-0.1271527,-0.05536858
10226,-0.1930095,-0.04694657
10251,-0.197345,-0.04672318
10276,-0.1774527,-0.04850791
10301,-0.1399971,-0.05215389
10326,-0.1051829,-0.05506404
10351,-0.05375325,-0.06170122
10376,-0.05375325,-0.06170122
10401,-0.004743285,-0.06479381
10426,0.02855564,-0.06623592
10451,0.06431785,-0.06702708
10476,0.06431785,-0.06702708
10501,0.08304428,-0.06734356
10526,0.07883339,-0.06669693
10551,0.05182253,-0.06555307
10576,0.01796909,-0.06461721
10602,0.01796909,-0.06461721
10626,-0.03748576,-0.06279369
10651,-0.0844489,-0.05941168
10676,-0.1331538,-0.05675266
10701,-0.1871228,-0.05009351
10726,-0.2108438,-0.0484268
10751,-0.2013364,-0.04877186
10776,-0.176647,-0.0510186
10801,-0.176647,-0.0510186
