Time (ms),y target (mm),y tip (mm)
18260,-0.2051247,-0.08231742
18310,-0.2027379,-0.09281334
18360,-0.2029829,-0.09941953
18410,-0.2028198,-0.1036282
18460,-0.2023539,-0.111676
18510,-0.2028036,-0.1208294
18560,-0.2028484,-0.1264191
18610,-0.2036658,-0.1342777
18660,-0.2037225,-0.1384614
18710,-0.2037949,-0.1467012
18760,-0.2030956,-0.15096
18810,-0.2020099,-0.1482175
18860,-0.2003132,-0.1478494
18910,-0.1949946,-0.14796
18960,-0.1443831,-0.1495805
19010,-0.1024941,-0.1468761
19060,-0.006782681,-0.1471096
19110,0.02205134,-0.1472344
19160,0.03835189,-0.1467389
19210,0.04615656,-0.1422722
19260,0.05465558,-0.1372292
19310,0.05320795,-0.1296594
19360,0.05793788,-0.1258194
19410,0.0624698,-0.1200825
19460,0.06444252,-0.1161892
19510,0.0637897,-0.1090723
19560,0.06538986,-0.09944689
19610,0.06929562,-0.09033207
19660,0.07121789,-0.08657434
19710,0.07367864,-0.07746769
19760,0.07338621,-0.06397456
19810,0.07315529,-0.05700963
19860,0.07517738,-0.04578672
19911,0.07412246,-0.03732721
19961,0.07636562,-0.02971108
20011,0.07645487,-0.02949859
20061,0.08045639,-0.03252056
20111,0.08140276,-0.03112099
20161,0.07187897,-0.030882
20261,-0.1241969,-0.0307686
20311,-0.1650058,-0.03097906
20361,-0.1955214,-0.03099755
20411,-0.1962824,-0.03291862
20461,-0.2069911,-0.03647672
20511,-0.2018463,-0.04670919
20561,-0.2069849,-0.05599628
20611,-0.2034509,-0.06111901
20662,-0.2046979,-0.06961423
20712,-0.1998811,-0.08032732
20762,-0.1985845,-0.08763881
20812,-0.1933857,-0.09797712
20862,-0.1905263,-0.1033314
20912,-0.1916036,-0.1067523
20962,-0.192522,-0.1162075
21012,-0.1943546,-0.1220395
21062,-0.1946411,-0.1320564
21112,-0.1960207,-0.1375574
21162,-0.196923,-0.1413219
21212,-0.1976061,-0.1464301
21262,-0.1975171,-0.1495086
21312,-0.1954472,-0.1478781
21362,-0.1960821,-0.147508
21412,-0.1920274,-0.1486169
21462,-0.1870006,-0.1486741
21512,-0.1694272,-0.1479376
21865,0.05040268,-0.1259382
21915,0.05403819,-0.1206488
21965,0.06020723,-0.1181636
22015,0.06546157,-0.111342
22065,0.07354475,-0.1009395
22116,0.07513673,-0.09675346
22166,0.07709353,-0.08555648
22216,0.07938343,-0.08131864
22266,0.08050229,-0.07317095
22316,0.0820052,-0.06846858
22366,0.08354688,-0.0562879
22416,0.08641393,-0.04762677
22466,0.08704493,-0.0429735
22516,0.08852306,-0.03606762
22566,0.08880238,-0.03260644
22616,0.08906785,-0.03325237
22666,0.08753502,-0.03398889
22716,0.08393247,-0.03229736
22766,0.08070067,-0.03253773
22816,0.02151678,-0.03250227
22866,-0.08270951,-0.03108857
22916,-0.1347717,-0.03074919
22966,-0.1584758,-0.03537408
23016,-0.1780234,-0.04383207
23066,-0.1849554,-0.05570352
23116,-0.1899835,-0.05789217
23166,-0.1944427,-0.05885242
23216,-0.1952338,-0.06676171
23266,-0.194681,-0.07582422
23316,-0.199254,-0.08469286
23366,-0.1996939,-0.09068607
23416,-0.1997564,-0.09625078
23466,-0.2012448,-0.1066767
23516,-0.2004551,-0.1112379
23566,-0.2029856,-0.1203389
23616,-0.2015255,-0.1265533
23666,-0.2020624,-0.132585
23716,-0.2024406,-0.1422954
23766,-0.2023571,-0.1470157
23816,-0.2029521,-0.1505594
23866,-0.2025681,-0.1485482
23916,-0.2006247,-0.1468568
23966,-0.1959969,-0.1488674
24016,-0.190437,-0.1496854
24066,-0.1763957,-0.1488033
24166,-0.01419265,-0.1490756
24216,0.02494972,-0.1492457
24266,0.02834317,-0.1489312
24316,0.04438236,-0.145149
24366,0.04814125,-0.1371117
24417,0.05019682,-0.1322989
24466,0.05596622,-0.1270612
24516,0.05748862,-0.1248016
24566,0.06080033,-0.1169989
24617,0.06245511,-0.1059221
24666,0.06448524,-0.100739
24716,0.06689762,-0.09378666
24766,0.06981456,-0.08735742
24816,0.07256263,-0.07692873
24866,0.07494674,-0.06694679
