Time (ms),y target (mm),y tip (mm)
13490,0.07790601,-0.07794039
13515,0.08566961,-0.07891951
13540,0.09197305,-0.0781292
13565,0.09197305,-0.0781292
13590,0.09880918,-0.07344889
13615,0.104724,-0.06526308
13640,0.1093206,-0.05744716
13667,0.1125563,-0.05056214
13691,0.1125563,-0.05056214
13716,0.116242,-0.04201396
13741,0.1171922,-0.0394801
13766,0.1169406,-0.03779858
13791,0.1152849,-0.03490917
13816,0.1123002,-0.03085329
13842,0.1045745,-0.02049435
13866,0.1045745,-0.02049435
13895,0.1025629,-0.0139627
13919,0.09711465,-0.007014725
13944,0.08954418,-0.005499657
13970,0.08229743,-0.005184023
13995,0.04673192,-0.02972261
14019,0.04673192,-0.02972261
14045,0.0228267,-0.03921495
14070,0.04364436,-0.005789022
14095,0.02906304,-0.005493898
14120,0.02906304,-0.005493898
14144,0.03050007,0.01293842
14169,0.02718136,0.02642173
14194,0.03643661,0.04925741
14219,0.001256756,0.02335836
14244,-0.00847875,0.02250593
14270,-0.0008381791,0.0377853
14295,-0.0008381791,0.0377853
14320,-0.01353233,0.03185162
14345,-0.06470893,-0.006723225
14369,-0.07463107,-0.007588355
14395,-0.08366662,-0.01024832
14420,-0.08366662,-0.01024832
14445,-0.0943174,-0.0167302
14470,-0.0943174,-0.0167302
14495,-0.1031076,-0.02083548
14520,-0.1078556,-0.02340925
14545,-0.1078556,-0.02340925
14570,-0.1173836,-0.02895969
14595,-0.121956,-0.03189861
14619,-0.12759,-0.03634736
14644,-0.1325272,-0.04062852
14669,-0.1325272,-0.04062852
14695,-0.1405976,-0.0460049
14720,-0.145164,-0.04946757
14745,-0.1497637,-0.05284851
14770,-0.1543372,-0.05642577
14794,-0.1592727,-0.05992139
14820,-0.1678102,-0.06655495
14845,-0.1716534,-0.0695295
14870,-0.1716534,-0.0695295
14894,-0.1801862,-0.07779443
14919,-0.1846855,-0.08307094
14944,-0.1927446,-0.09157191
14970,-0.1956389,-0.09474396
14996,-0.2007364,-0.09910687
15021,-0.203983,-0.1039
15045,-0.203983,-0.1039
15071,-0.2076075,-0.1078964
15096,-0.2101457,-0.1150465
15121,-0.2101457,-0.1150465
15146,-0.211168,-0.1220542
15171,-0.2111808,-0.1258581
15196,-0.2093811,-0.130098
15221,-0.207674,-0.131842
15246,-0.2036445,-0.1348675
15271,-0.2036445,-0.1348675
15296,-0.198803,-0.1365418
15320,-0.1894986,-0.1367492
15346,-0.1894986,-0.1367492
15370,-0.181447,-0.1358158
15396,-0.1706769,-0.1353509
15421,-0.1581294,-0.1354468
15446,-0.1496966,-0.1358699
15471,-0.1496966,-0.1358699
